Participant,Code,Condition,Recognition score,Missed,Trivia Qs,Trivia Correct
1,VVJXL,deep,96.7,4,22,15
2,U5QYB,deep,91.7,2,25,12
3,ARG48,deep,66.7,2,22,4
4,LR43S,deep,91.7,1,24,7
5,UQ5Z3,deep,98.3,1,21,8
6,4JLQC,deep,98.3,0,33,15
7,XFKR2,deep,80,2,16,8
8,BPXYC,deep,98.3,0,41,15
9,MF8XK,deep,88.3,4,28,15
10,BFXE2,deep,88.3,3,26,13
11,CRMUJ,deep,95,2,18,7
12,5TA33,deep,90,4,32,15
13,M7UEE,deep,98.3,0,32,13
14,U2M26,shallow,56.7,1,50,13
15,4DF94,shallow,83.3,0,30,11
16,TPFQS,shallow,56.7,0,23,10
17,Q6M7Y,shallow,56.7,1,31,11
18,4EJ6Q,shallow,78.3,0,27,10
19,WX3BX,shallow,71.7,0,24,11
20,2CBSG,shallow,86.7,1,27,11
21,3R3NJ,shallow,83.3,0,34,19
22,KYTTY,shallow,30,0,22,10
23,JX65G,shallow,78.3,0,23,11
24,AEJZD,shallow,88.3,0,33,13
25,7HUHE,shallow,63.3,0,25,9
26,UXWDC,shallow,86.7,0,23,10
27,Y6N4X,shallow,53.3,2,31,16
28,3PBC3,shallow,65,3,32,8
