P,CompletionCode,Depth,Stimulus,Recognition,Missed,Trivia,TriviaCorrect
1,BRQKF,shallow,abstract,65,6,29,9
2,ZN54H,shallow,abstract,60,5,26,13
3,4P45K,deep,abstract,70,0,26,9
4,CEXXZ,deep,abstract,77.5,2,30,15
5,F8CWB,deep,abstract,90,4,14,4
6,ZGRMH,deep,meaningful,95,7,30,15
7,6988N,deep,abstract,77.5,2,5,4
8,EYVYB,deep,meaningful,97.5,0,21,7
9,5YCQP,shallow,meaningful,87.5,2,13,7
10,SWA2L,deep,meaningful,97.5,1,25,14
11,AQLZ4,deep,meaningful,75,7,37,20
12,2FRFV,shallow,meaningful,82.5,0,20,6
13,9NP7W,shallow,abstract,60,3,22,6
14,P97XZ,shallow,meaningful,92.5,18,13,11
15,5M357,deep,meaningful,92.5,2,18,9
16,FZ6L8,deep,meaningful,82.5,10,11,7
17,MA3HT,shallow,abstract,72.5,2,35,13
18,VHPF2,deep,abstract,80,1,17,4
19,KHATZ,shallow,meaningful,95,2,11,4
20,SBUJG,deep,meaningful,87.5,1,23,10
21,UHXRQ,deep,meaningful,92.5,1,13,4
22,XYWYW,shallow,meaningful,50,4,4,3
23,VEGGC,deep,meaningful,95,1,17,11
24,92BYC,deep,abstract,50,1,3,2
25,7YRU6,deep,abstract,62.5,6,1,0
26,F7LX9,deep,meaningful,90,2,10,3
27,3984X,deep,abstract,70,1,125,36
28,R8FGC,deep,abstract,85,1,29,15
29,T9MFC,shallow,abstract,67.5,7,24,13
30,SWXUM,deep,meaningful,90,2,16,11
31,5Y5J8,deep,abstract,77.5,4,22,9
32,768JX,deep,abstract,72.5,4,10,2
33,2PK37,shallow,abstract,80,2,16,4
34,FFYD8,deep,abstract,65,3,23,7
35,GVXCS,deep,abstract,67.5,8,13,4
36,LMGEF,shallow,abstract,62.5,3,55,15
37,TVFJU,deep,meaningful,57.5,2,113,32
38,FYT2V,shallow,abstract,52.5,3,33,8
39,CAJB5,deep,meaningful,75,0,43,14
40,45SBW,shallow,abstract,52.5,3,27,9
41,F7BGD,shallow,meaningful,82.5,5,31,13
42,XX4WU,shallow,meaningful,92.5,2,33,15
43,LKBCT,shallow,abstract,50,2,28,11
44,B96GE,deep,meaningful,92.5,2,25,13
45,YS7MW,shallow,abstract,57.5,7,10,4
46,4XD63,deep,abstract,57.5,2,108,22
47,6N7QY,shallow,meaningful,90,1,33,15
48,5RPVY,deep,abstract,87.5,1,16,13
49,FJFEC,deep,meaningful,92.5,4,63,16
50,YXCFG,deep,meaningful,87.5,7,35,16
51,STEN8,shallow,meaningful,60,2,19,7
52,7A8FR,shallow,abstract,70,3,145,33
53,SX22Z,deep,meaningful,95,4,32,14
54,M68DJ,deep,abstract,80,1,15,8
55,LQ8DW,shallow,abstract,77.5,1,56,27
56,EJJ6F,shallow,abstract,80,3,27,17
57,4H6P3,deep,meaningful,95,1,21,12
58,KZ48W,shallow,abstract,70,2,30,14
59,ED7D4,shallow,abstract,55,4,11,4
