N,Color,Difficulty,Chocolate
1,Red,Hard,2
2,Red,Hard,3
3,Red,Hard,2
4,Red,Hard,3
5,Red,Hard,3
6,Red,Hard,2
7,Red,Hard,4
8,Red,Hard,4
9,Red,Hard,4
10,Red,Hard,2
11,Red,Hard,4
12,Red,Hard,2
13,Red,Hard,2
14,Red,Hard,3
15,Red,Hard,4
16,Red,Hard,3
17,Red,Hard,4
18,Red,Hard,2
19,Red,Hard,4
20,Red,Hard,2
21,Red,Easy,4
22,Red,Easy,2
23,Red,Easy,5
24,Red,Easy,4
25,Red,Easy,4
26,Red,Easy,2
27,Red,Easy,4
28,Red,Easy,4
29,Red,Easy,3
30,Red,Easy,3
31,Red,Easy,3
32,Red,Easy,4
33,Red,Easy,3
34,Red,Easy,4
35,Red,Easy,3
36,Red,Easy,2
37,Red,Easy,3
38,Red,Easy,5
39,Red,Easy,2
40,Red,Easy,5
41,Black,Hard,5
42,Black,Hard,5
43,Black,Hard,5
44,Black,Hard,3
45,Black,Hard,3
46,Black,Hard,5
47,Black,Hard,3
48,Black,Hard,3
49,Black,Hard,5
50,Black,Hard,5
51,Black,Hard,3
52,Black,Hard,5
53,Black,Hard,3
54,Black,Hard,5
55,Black,Hard,4
56,Black,Hard,3
57,Black,Hard,4
58,Black,Hard,4
59,Black,Hard,4
60,Black,Hard,3
61,Black,Easy,6
62,Black,Easy,6
63,Black,Easy,4
64,Black,Easy,4
65,Black,Easy,6
66,Black,Easy,5
67,Black,Easy,5
68,Black,Easy,5
69,Black,Easy,4
70,Black,Easy,5
71,Black,Easy,6
72,Black,Easy,4
73,Black,Easy,4
74,Black,Easy,4
75,Black,Easy,6
76,Black,Easy,4
77,Black,Easy,3
78,Black,Easy,5
79,Black,Easy,4
80,Black,Easy,5
