N,Personality,Side,Green
1,Optimist,Other,3
2,Optimist,Other,7
3,Optimist,Other,6
4,Optimist,Other,4
5,Optimist,Other,5
6,Optimist,Other,4
7,Optimist,Other,3
8,Optimist,Other,5
9,Optimist,Other,3
10,Optimist,Other,5
11,Optimist,Other,5
12,Optimist,Other,5
13,Optimist,Other,6
14,Optimist,Other,4
15,Optimist,Other,4
1,Optimist,Same,2
2,Optimist,Same,4
3,Optimist,Same,4
4,Optimist,Same,3
5,Optimist,Same,4
6,Optimist,Same,1
7,Optimist,Same,2
8,Optimist,Same,2
9,Optimist,Same,2
10,Optimist,Same,2
11,Optimist,Same,3
12,Optimist,Same,4
13,Optimist,Same,4
14,Optimist,Same,3
15,Optimist,Same,3
21,Pessimist,Other,5
22,Pessimist,Other,3
23,Pessimist,Other,3
24,Pessimist,Other,3
25,Pessimist,Other,4
26,Pessimist,Other,2
27,Pessimist,Other,2
28,Pessimist,Other,4
29,Pessimist,Other,3
30,Pessimist,Other,5
31,Pessimist,Other,2
32,Pessimist,Other,1
33,Pessimist,Other,2
34,Pessimist,Other,5
35,Pessimist,Other,5
21,Pessimist,Same,3
22,Pessimist,Same,3
23,Pessimist,Same,2
24,Pessimist,Same,3
25,Pessimist,Same,3
26,Pessimist,Same,3
27,Pessimist,Same,2
28,Pessimist,Same,4
29,Pessimist,Same,2
30,Pessimist,Same,3
31,Pessimist,Same,1
32,Pessimist,Same,1
33,Pessimist,Same,1
34,Pessimist,Same,2
35,Pessimist,Same,4
